centroid_x,centroid_y
1.310000000000000000e+02,3.310000000000000000e+02
1.920000000000000000e+02,2.780000000000000000e+02
1.330000000000000000e+02,3.530000000000000000e+02
2.200000000000000000e+02,3.390000000000000000e+02
1.310000000000000000e+02,5.620000000000000000e+02
8.120000000000000000e+02,1.060000000000000000e+02
1.420000000000000000e+02,5.000000000000000000e+02
2.450000000000000000e+02,4.250000000000000000e+02
1.220000000000000000e+02,1.015000000000000000e+03
2.780000000000000000e+02,1.023000000000000000e+03
