centroid_x,centroid_y
1.200000000000000000e+02,5.950000000000000000e+02
3.390000000000000000e+02,1.580000000000000000e+02
8.200000000000000000e+02,1.140000000000000000e+02
1.530000000000000000e+02,3.890000000000000000e+02
2.340000000000000000e+02,4.280000000000000000e+02
1.920000000000000000e+02,2.810000000000000000e+02
1.310000000000000000e+02,3.390000000000000000e+02
1.360000000000000000e+02,3.500000000000000000e+02
1.580000000000000000e+02,2.610000000000000000e+02
5.200000000000000000e+02,5.600000000000000000e+01
2.280000000000000000e+02,3.310000000000000000e+02
1.170000000000000000e+02,1.020000000000000000e+03
1.420000000000000000e+02,5.560000000000000000e+02
2.810000000000000000e+02,1.023000000000000000e+03
