centroid_x,centroid_y
1.320000000000000000e+02,6.600000000000000000e+01
2.100000000000000000e+01,4.600000000000000000e+01
2.230000000000000000e+02,1.800000000000000000e+01
8.500000000000000000e+01,2.680000000000000000e+02
2.090000000000000000e+02,2.020000000000000000e+02
1.370000000000000000e+02,2.300000000000000000e+01
4.700000000000000000e+01,8.600000000000000000e+01
9.300000000000000000e+01,2.220000000000000000e+02
9.300000000000000000e+01,2.220000000000000000e+02
5.000000000000000000e+01,1.390000000000000000e+02
4.300000000000000000e+01,1.620000000000000000e+02
2.900000000000000000e+01,1.990000000000000000e+02
1.520000000000000000e+02,2.980000000000000000e+02
4.300000000000000000e+01,2.410000000000000000e+02
3.200000000000000000e+01,7.500000000000000000e+01
1.400000000000000000e+02,2.250000000000000000e+02
1.170000000000000000e+02,6.700000000000000000e+01
5.700000000000000000e+01,1.600000000000000000e+01
5.800000000000000000e+01,2.420000000000000000e+02
1.940000000000000000e+02,9.000000000000000000e+00
1.800000000000000000e+02,1.340000000000000000e+02
1.150000000000000000e+02,1.790000000000000000e+02
1.260000000000000000e+02,1.670000000000000000e+02
8.300000000000000000e+01,3.200000000000000000e+01
2.100000000000000000e+01,1.100000000000000000e+01
1.330000000000000000e+02,1.780000000000000000e+02
1.230000000000000000e+02,1.470000000000000000e+02
7.700000000000000000e+01,1.850000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00
6.200000000000000000e+01,1.080000000000000000e+02
1.780000000000000000e+02,1.070000000000000000e+02
1.720000000000000000e+02,1.570000000000000000e+02
1.560000000000000000e+02,1.860000000000000000e+02
3.200000000000000000e+01,2.660000000000000000e+02
