centroid_x,centroid_y
1.004000000000000000e+03,6.780000000000000000e+02
1.212000000000000000e+03,5.450000000000000000e+02
1.237000000000000000e+03,5.340000000000000000e+02
2.920000000000000000e+02,7.620000000000000000e+02
1.330000000000000000e+02,7.230000000000000000e+02
2.200000000000000000e+02,3.310000000000000000e+02
2.280000000000000000e+02,7.870000000000000000e+02
2.030000000000000000e+02,9.170000000000000000e+02
2.810000000000000000e+02,3.590000000000000000e+02
8.950000000000000000e+02,5.530000000000000000e+02
9.260000000000000000e+02,3.670000000000000000e+02
9.620000000000000000e+02,1.560000000000000000e+02
1.950000000000000000e+02,5.640000000000000000e+02
1.970000000000000000e+02,2.720000000000000000e+02
9.370000000000000000e+02,1.004000000000000000e+03
9.060000000000000000e+02,8.010000000000000000e+02
5.390000000000000000e+02,7.010000000000000000e+02
4.090000000000000000e+02,6.510000000000000000e+02
1.330000000000000000e+02,8.620000000000000000e+02
1.045000000000000000e+03,5.480000000000000000e+02
1.065000000000000000e+03,1.360000000000000000e+02
1.012000000000000000e+03,6.280000000000000000e+02
1.330000000000000000e+02,5.590000000000000000e+02
2.090000000000000000e+02,8.450000000000000000e+02
4.110000000000000000e+02,6.890000000000000000e+02
1.004000000000000000e+03,6.480000000000000000e+02
3.670000000000000000e+02,7.590000000000000000e+02
1.056000000000000000e+03,1.330000000000000000e+02
9.540000000000000000e+02,2.590000000000000000e+02
9.980000000000000000e+02,7.060000000000000000e+02
1.140000000000000000e+03,5.450000000000000000e+02
3.110000000000000000e+02,9.400000000000000000e+02
3.220000000000000000e+02,2.170000000000000000e+02
5.200000000000000000e+02,4.700000000000000000e+01
8.370000000000000000e+02,2.700000000000000000e+02
4.250000000000000000e+02,2.720000000000000000e+02
2.860000000000000000e+02,3.980000000000000000e+02
4.590000000000000000e+02,6.950000000000000000e+02
9.590000000000000000e+02,2.470000000000000000e+02
1.640000000000000000e+02,3.780000000000000000e+02
9.900000000000000000e+02,3.250000000000000000e+02
4.890000000000000000e+02,3.560000000000000000e+02
9.040000000000000000e+02,4.810000000000000000e+02
9.170000000000000000e+02,3.530000000000000000e+02
1.310000000000000000e+02,3.360000000000000000e+02
1.332000000000000000e+03,4.000000000000000000e+02
3.420000000000000000e+02,1.450000000000000000e+02
3.060000000000000000e+02,2.860000000000000000e+02
8.170000000000000000e+02,1.000000000000000000e+02
